# 
# Study ERP004459: Analysis of RNA expression in tapeworm species
# See Olson .. Berriman, 2018: https://www.ncbi.nlm.nih.gov/pubmed/30455861
# Reads aligned with TopHat2 and quantified with HTSeq, by RNASeq-er: https://www.ebi.ac.uk/fg/rnaseq/api
# 
# Differential expression analysis, comparing pairs of conditions differing by organism part
# Using R version 3.6.1, DESeq2 version 1.24.0
# Results for contrast Adult, mid-section vs Adult, posterior
# Values as in https://bioconductor.org/packages/release/bioc/vignettes/DESeq2/inst/doc/DESeq2.html#more-information-on-results-columns
gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HmN_000000100	1412.03	0.36	0.08	4.3	1.8e-05	4.7e-05
HmN_000000200	485.73	-0.06	0.17	-0.35	0.73	0.78
HmN_000000300	1952.14	-0.12	0.06	-1.9	0.056	0.083
HmN_000000400	319.82	-0.18	0.14	-1.3	0.2	0.26
HmN_000000700	459.83	-3.37	0.26	-13	2.1e-39	1.1e-37
HmN_000000800	807.61	0.17	0.16	1	0.3	0.37
HmN_000000900	560.21	-0.53	0.12	-4.6	5e-06	1.4e-05
HmN_000001000	462.56	0.25	0.13	1.9	0.059	0.087
HmN_000001100	466.88	0.28	0.1	2.9	0.0036	0.0067
HmN_000001200	92.7	2.72	0.63	4.3	1.4e-05	3.7e-05
HmN_000001300	247.57	0.55	0.22	2.5	0.014	0.023
HmN_000001600	27.51	-0.75	0.81	-0.92	0.36	0.43
HmN_000001700	10914.04	-0.66	0.08	-8.7	2.5e-18	2.7e-17
HmN_000001800	881.29	0.88	0.1	8.7	2.3e-18	2.6e-17
HmN_000001900	4568.99	0.79	0.11	7.3	3.4e-13	2.2e-12
HmN_000002000	824.12	-0.28	0.08	-3.6	3e-04	0.00065
HmN_000002100	336.99	0.85	0.15	5.5	3.3e-08	1.2e-07
HmN_000002200	470	-0.24	0.12	-2.1	0.038	0.058
HmN_000002300	113.2	2.29	0.4	5.8	7.7e-09	3.1e-08
HmN_000002400	465.89	-1.11	0.14	-8.1	7.3e-16	6.3e-15
HmN_000002500	1011.72	-0.84	0.15	-5.5	3.7e-08	1.4e-07
HmN_000002600	2653.16	-1.56	0.14	-11	1.9e-28	5e-27
HmN_000002700	288.64	-0.53	0.19	-2.7	0.0062	0.011
HmN_000002800	643.2	0.4	0.13	3	0.0028	0.0053
HmN_000002900	12626.33	0.14	0.09	1.6	0.1	0.14
HmN_000003000	3.11	-2.16	1.1	-2	0.049	0.073
HmN_000003200	1430.37	0.16	0.1	1.6	0.11	0.15
HmN_000003300	3878.96	-0.35	0.09	-4.1	4.4e-05	0.00011
HmN_000003500	363.31	-0.16	0.11	-1.4	0.15	0.21
HmN_000003600	1241.95	-1.29	0.13	-9.8	1.6e-22	2.7e-21
HmN_000003700	1562.44	-0.64	0.09	-7.4	1.1e-13	8e-13
HmN_000003800	0.19	0	5.27	0	1	NA
HmN_000003900	34.68	-3.83	0.59	-6.4	1.2e-10	5.8e-10
HmN_000004000	430.92	-1.13	0.3	-3.8	0.00014	0.00031
HmN_000004100	1781.55	-1.29	0.27	-4.7	2.5e-06	7.5e-06
HmN_000004200	26.47	-0.19	0.46	-0.41	0.68	0.74
HmN_000004300	779.5	-0.16	0.47	-0.34	0.73	0.78
HmN_000004500	1003.81	-0.48	0.13	-3.8	0.00012	0.00029
HmN_000004600	351.41	0.26	0.11	2.3	0.019	0.031
HmN_000004750	693.41	-0.05	0.17	-0.28	0.78	0.83
HmN_000005100	915.65	-0.52	0.1	-5.1	3e-07	1e-06
HmN_000005200	245.88	0.88	0.18	5	5.5e-07	1.8e-06
HmN_000005300	271.8	-0.65	0.2	-3.3	0.00097	0.002
HmN_000005500	943.79	-0.82	0.12	-6.8	1.1e-11	6.1e-11
HmN_000005600	17.92	-0.34	0.47	-0.71	0.48	0.55
HmN_000005800	277.21	0.46	0.2	2.3	0.022	0.035
HmN_000005900	2759.42	1.33	0.44	3	0.0026	0.005
HmN_000006000	1353.86	1.3	0.21	6.3	2.4e-10	1.2e-09
HmN_000006100	236.01	0.53	0.16	3.3	0.00088	0.0018
HmN_000006300	16.13	-0.76	0.53	-1.4	0.15	0.2
HmN_000006400	171.44	-1.12	0.24	-4.8	2e-06	5.9e-06
HmN_000006500	830.25	-0.57	0.08	-6.9	4.7e-12	2.8e-11
HmN_000006600	247.6	-0.98	0.19	-5.1	2.6e-07	8.9e-07
HmN_000006700	913.55	1.5	0.18	8.4	3.5e-17	3.4e-16
HmN_000007000	97.25	-7.68	0.63	-12	5.8e-34	2.4e-32
HmN_000007100	300.73	0.3	0.5	0.6	0.55	0.62
HmN_000007300	578.76	-0.21	0.14	-1.5	0.13	0.17
HmN_000007400	373.33	-0.25	0.15	-1.6	0.11	0.15
HmN_000007500	787.59	0.58	0.14	4.2	2.7e-05	6.8e-05
HmN_000007600	175.69	0.51	0.54	0.94	0.35	0.42
HmN_000007700	0.05	0	5.27	0	1	NA
HmN_000007800	1031.57	-1.04	0.11	-9	1.6e-19	2e-18
HmN_000008000	165.67	0.69	0.2	3.5	0.00039	0.00084
HmN_000008100	600.76	0.47	0.15	3.1	0.0021	0.0041
HmN_000008200	1850.88	-0.09	0.08	-1.2	0.25	0.31
HmN_000008300	145.59	1.94	0.3	6.4	1.6e-10	8e-10
HmN_000008400	1555.31	-0.09	0.07	-1.2	0.24	0.3
HmN_000008500	227.33	1.94	0.39	5	5.2e-07	1.7e-06
HmN_000008700	776.61	-1.07	0.11	-9.4	3.7e-21	5.4e-20
HmN_000009000	11.74	2.77	0.91	3.1	0.0022	0.0043
HmN_000009100	537.61	0.19	0.11	1.7	0.086	0.12
HmN_000009200	870.17	0.44	0.09	4.8	1.7e-06	5.1e-06
HmN_000009300	596.19	0.79	0.13	6	2.5e-09	1.1e-08
HmN_000009400	1276.49	0.89	0.1	8.8	1.1e-18	1.3e-17
HmN_000009500	49.16	3.31	0.5	6.6	3.8e-11	2e-10
HmN_000009700	34.88	1.01	1.15	0.87	0.38	0.46
