# 
# Study ERP004459: Analysis of RNA expression in tapeworm species
# See Olson .. Berriman, 2018: https://www.ncbi.nlm.nih.gov/pubmed/30455861
# Reads aligned with TopHat2 and quantified with HTSeq, by RNASeq-er: https://www.ebi.ac.uk/fg/rnaseq/api
# 
# Differential expression analysis, comparing pairs of conditions differing by organism part
# Using R version 3.6.1, DESeq2 version 1.24.0
# Results for contrast Adult, posterior vs Adult, scolex
# Values as in https://bioconductor.org/packages/release/bioc/vignettes/DESeq2/inst/doc/DESeq2.html#more-information-on-results-columns
gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HmN_000000100	1412.03	-0.22	0.08	-2.6	0.0096	0.017
HmN_000000200	485.73	1.59	0.18	9	2e-19	1.8e-18
HmN_000000300	1952.14	-0.2	0.06	-3.2	0.0015	0.0029
HmN_000000400	319.82	-0.01	0.14	-0.082	0.93	0.98
HmN_000000700	459.83	4.66	0.27	17	1.9e-67	1.2e-65
HmN_000000800	807.61	-0.42	0.16	-2.6	0.0099	0.017
HmN_000000900	560.21	0.01	0.11	0.073	0.94	0.98
HmN_000001000	462.56	-0.84	0.13	-6.4	1.6e-10	6.9e-10
HmN_000001100	466.88	-0.28	0.1	-2.8	0.0049	0.0089
HmN_000001200	92.7	4.58	0.87	5.3	1.3e-07	4.2e-07
HmN_000001300	247.57	-0.41	0.22	-1.8	0.069	0.1
HmN_000001600	27.51	2.53	0.86	2.9	0.0033	0.0062
HmN_000001700	10914.04	1.34	0.08	18	8.1e-70	5.5e-68
HmN_000001800	881.29	-1.29	0.1	-13	1.2e-37	2.8e-36
HmN_000001900	4568.99	-0.75	0.11	-6.9	4.2e-12	2.2e-11
HmN_000002000	824.12	-0.12	0.08	-1.5	0.14	0.19
HmN_000002100	336.99	0.17	0.16	1	0.29	0.37
HmN_000002200	470	0.24	0.12	2.1	0.039	0.061
HmN_000002300	113.2	-1.15	0.4	-2.9	0.0042	0.0078
HmN_000002400	465.89	0.41	0.13	3	0.0023	0.0045
HmN_000002500	1011.72	-0.11	0.15	-0.74	0.46	0.54
HmN_000002600	2653.16	1.48	0.14	10	1.4e-25	1.7e-24
HmN_000002700	288.64	-1.13	0.19	-6.1	1.4e-09	5.6e-09
HmN_000002800	643.2	-1.14	0.13	-8.7	4.9e-18	4e-17
HmN_000002900	12626.33	-0.74	0.09	-8.5	2.2e-17	1.7e-16
HmN_000003000	3.11	0.22	0.95	0.23	0.82	0.88
HmN_000003200	1430.37	-0.91	0.1	-9.2	3.8e-20	3.6e-19
HmN_000003300	3878.96	1	0.09	12	9.3e-31	1.5e-29
HmN_000003500	363.31	0.65	0.11	5.8	8.7e-09	3.2e-08
HmN_000003600	1241.95	0.55	0.13	4.2	2.7e-05	6.8e-05
HmN_000003700	1562.44	0.4	0.09	4.6	4.8e-06	1.3e-05
HmN_000003800	0.19	0	5.27	0	1	1
HmN_000003900	34.68	0.92	0.48	1.9	0.055	0.084
HmN_000004000	430.92	0	0.29	-0.014	0.99	1
HmN_000004100	1781.55	0.33	0.27	1.2	0.23	0.3
HmN_000004200	26.47	-1.28	0.44	-2.9	0.0035	0.0065
HmN_000004300	779.5	0.38	0.47	0.81	0.42	0.51
HmN_000004500	1003.81	0.58	0.13	4.6	4.2e-06	1.2e-05
HmN_000004600	351.41	-0.32	0.11	-2.9	0.0037	0.007
HmN_000004750	693.41	0.03	0.17	0.17	0.87	0.92
HmN_000005100	915.65	0.23	0.1	2.3	0.023	0.038
HmN_000005200	245.88	-1.12	0.18	-6.4	1.8e-10	8e-10
HmN_000005300	271.8	-0.57	0.19	-3	0.003	0.0056
HmN_000005500	943.79	0.36	0.12	3	0.0028	0.0054
HmN_000005600	17.92	-1.1	0.44	-2.5	0.012	0.021
HmN_000005800	277.21	-0.76	0.2	-3.8	0.00017	0.00038
HmN_000005900	2759.42	-2.05	0.44	-4.7	3.3e-06	9.2e-06
HmN_000006000	1353.86	-0.57	0.21	-2.8	0.0059	0.011
HmN_000006100	236.01	0.34	0.17	2.1	0.04	0.062
HmN_000006300	16.13	-0.51	0.5	-1	0.31	0.39
HmN_000006400	171.44	-0.81	0.22	-3.6	0.00027	0.00059
HmN_000006500	830.25	0.16	0.08	2	0.042	0.064
