gene_id	ERR337909	ERR337922	ERR337912	ERR337925	ERR337937	ERR337949
EgrG_000006700	5	2	3	4	4	6
EgrG_000007700	8	3	11	6	12	9
EgrG_000008600	0	0	0	0	0	1
EgrG_000008700	32572	27923	21836	19195	23852	24930
EgrG_000009200	8	6	12	13	11	6
EgrG_000009300	3	4	5	1	8	4
EgrG_000009500	62	53	31	33	34	27
EgrG_000010300	1931	1645	1304	1156	1298	1331
EgrG_000010400	1	1	2	1	0	1
EgrG_000010600	4	4	2	4	6	11
EgrG_000010800	979	889	575	512	638	633
EgrG_000011000	0	0	0	0	0	0
EgrG_000013000	1	1	2	1	2	0
EgrG_000013100	0	0	0	0	0	0
EgrG_000014400	6	4	7	4	6	13
EgrG_000017400	0	0	0	0	0	0
EgrG_000020150	0	1	0	0	1	0
EgrG_000020200	21	18	6	7	40	41
EgrG_000024200	196	196	192	147	262	261
EgrG_000033300	792	699	1391	1186	790	811
EgrG_000033400	0	1	0	0	0	0
EgrG_000035500	0	0	0	0	1	0
EgrG_000036200	0	0	1	0	0	0
EgrG_000037700	2	5	0	2	0	2
EgrG_000037800	0	0	0	0	0	0
EgrG_000040000	1939	1589	824	695	1656	1688
EgrG_000040100	533	417	165	138	339	376
EgrG_000040200	808	684	619	548	471	457
EgrG_000040350	915	777	724	609	1153	1255
EgrG_000040400	5335	4756	3877	3360	4679	4710
EgrG_000040500	30	21	15	15	24	18
EgrG_000040600	633	568	357	336	610	611
EgrG_000040700	105	83	94	81	115	117
EgrG_000040800	508	425	573	485	1047	1069
EgrG_000040900	104	106	137	119	154	177
EgrG_000041100	87	67	71	71	165	169
EgrG_000041200	6449	5441	3608	3224	6134	6379
EgrG_000041300	2365	2043	1252	1019	2068	2061
EgrG_000041350	14	23	25	14	31	29
EgrG_000041400	372	379	455	377	582	560
EgrG_000041450	241	199	364	310	342	353
EgrG_000041500	231	232	234	196	344	334
EgrG_000041600	3955	3440	1321	1059	2246	2292
EgrG_000041700	114	99	134	106	297	274
EgrG_000041800	410	334	494	433	488	493
EgrG_000042100	436	354	153	113	339	384
EgrG_000042200	18	12	5	5	19	19
EgrG_000042300	263	229	355	347	370	388
EgrG_000042400	31	30	51	47	54	60
EgrG_000042500	9	8	11	6	23	11
EgrG_000042600	6	6	6	6	11	16
EgrG_000042700	1	1	1	4	1	0
EgrG_000042800	1832	1597	1271	1131	1412	1445
EgrG_000042900	931	837	614	524	845	805
EgrG_000043000	90	55	75	69	136	147
EgrG_000043100	743	619	715	715	801	917
EgrG_000043200	35	43	28	25	51	41
EgrG_000043400	31	39	18	7	25	28
EgrG_000043500	197	171	139	123	288	390
EgrG_000043600	734	689	400	351	437	496
EgrG_000043700	26	18	26	17	27	26
EgrG_000043900	73	65	99	102	101	112
EgrG_000044000	0	2	0	0	1	1
EgrG_000044100	109	88	245	224	192	201
EgrG_000044300	2	2	2	1	2	2
EgrG_000044400	6	6	4	3	5	12
EgrG_000044600	605	532	405	320	330	319
EgrG_000044800	116	151	133	109	224	261
EgrG_000044900	779	662	507	460	762	757
EgrG_000045000	364	352	388	331	366	347
EgrG_000045100	633	521	695	626	711	751
EgrG_000045200	1451	1202	1687	1398	1042	1094
EgrG_000045300	68	60	53	36	75	67
EgrG_000045400	90	70	54	46	70	58
EgrG_000045500	567	514	448	384	763	791
