""	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"EgrG_000381100"	-7.77347335499839	5.25109623998811	2175.995985907	2.54155770738688e-09	2.01598914757457e-05
"EgrG_000072100"	-7.10987557937461	4.0060644912254	1787.03702254173	4.75244966424933e-09	2.01598914757457e-05
"EgrG_000382200"	-2.82298575332791	8.50783250547039	1060.21194971767	2.49253673968877e-08	7.00508392472312e-05
"EgrG_000131400"	-3.61630417897885	4.07619166734439	970.132524201614	3.30272698006748e-08	7.00508392472312e-05
"EgrG_000734900"	-2.34700686919366	5.52876492656586	651.138289081594	1.1665027786962e-07	0.000197932191489172
"EgrG_000742900"	-3.91816084824867	4.54932099434361	561.832637968758	1.85868884113151e-07	0.000262818602135996
"EgrG_001087900"	-3.31262924542463	5.56734567701012	475.779044425242	3.1395211075357e-07	0.000314278520524556
"EgrG_000763900"	-3.21786964701512	4.63900088956239	455.378152023961	3.60417328834123e-07	0.000314278520524556
"EgrG_000381400"	-3.64016826748393	6.68624017829943	445.673997189099	3.85705685970879e-07	0.000314278520524556
"EgrG_000315600"	-2.69313859763865	4.85340154076422	436.952969943782	4.10457526453432e-07	0.000314278520524556
"EgrG_002067500"	-5.42929972807525	2.55865188209177	428.421453448682	4.36730493217119e-07	0.000314278520524556
"EgrG_002320100"	-6.53837713366859	2.93570316283786	426.019491070195	4.44524074292159e-07	0.000314278520524556
"EgrG_000486500"	-2.34893752335048	5.83916482030779	406.489143672811	5.15217606128628e-07	0.000336238936184252
"EgrG_000412500"	-2.15912279279365	8.61462995322568	395.096761039631	5.63373859400314e-07	0.00034140455879659
"EgrG_000480600"	-1.56841987818015	8.10378268152784	381.0796556906	6.31082504347684e-07	0.00035694026445905
"EgrG_000984800"	-1.55601699002006	8.49061716416388	365.380733643022	7.20206088787596e-07	0.000363216616686665
"EgrG_000771900"	-1.4792342596913	7.29079337769254	364.161377713314	7.27803215897372e-07	0.000363216616686665
"EgrG_000417100"	-1.45106788703383	10.0892969143982	342.659812956471	8.80928904006303e-07	0.000415211156754971
"EgrG_002012280"	-6.26712386843974	3.4795176569602	331.373415400312	9.78460789654993e-07	0.000436908491549103
"EgrG_000556400"	-2.09290000634137	5.04406994374755	325.781037910043	1.03206836960225e-06	0.000437803402385275
"EgrG_001135700"	-7.67518303659231	3.14562070398089	314.000889435396	1.15827415258143e-06	0.000449507970429913
"EgrG_000110300"	-1.4679960492497	6.53756549116397	313.367022324044	1.16562651455187e-06	0.000449507970429913
"EgrG_000606200"	-4.08579480341119	5.28775739038465	290.221522773242	1.48195312576525e-06	0.00053120375209751
"EgrG_001060300"	-1.56936043163741	5.0011872986155	288.934111734822	1.50269802573553e-06	0.00053120375209751
"EgrG_000071900"	-5.33744575825325	3.33780952771879	284.0324447603	1.58526504266597e-06	0.000536333774035845
"EgrG_001150800"	-2.00069402603619	4.07057726184308	280.764725913757	1.64364428629561e-06	0.000536333774035845
"EgrG_001110000"	-1.31865706018763	6.02735791083382	265.973068104207	1.94634627749431e-06	0.000589469503914496
"EgrG_000464600"	-1.43827196018623	7.20494721574632	264.136935240826	1.98889002162207e-06	0.000589469503914496
"EgrG_000586800"	-1.86969042724019	5.04208087683463	262.231789031312	2.03433376451106e-06	0.000589469503914496
"EgrG_000381200"	-3.89395347991749	6.87657971827485	260.196375166918	2.08440418640204e-06	0.000589469503914496
"EgrG_002022900"	-5.59840308465096	3.5628957247722	252.969609893464	2.27582529006438e-06	0.000616353603813168
"EgrG_002014400"	-4.22736409908201	1.38271765367152	251.249290244108	2.32476606813076e-06	0.000616353603813168
"EgrG_001129100"	-3.93115601745041	4.19322969652507	228.881349361739	3.10814565009422e-06	0.000789341698429026
"EgrG_000714050"	-2.67872361864463	4.59761053943612	227.590416672458	3.16332128083297e-06	0.000789341698429026
"EgrG_000412700"	-1.10792288771648	6.26867793856018	222.612263999268	3.38855088044988e-06	0.000821384733421052
"EgrG_000705900"	-2.56172327850904	3.27365565014415	213.530015735804	3.85681970533647e-06	0.000882499541480916
"EgrG_001036000"	-1.26565843477153	5.67936051711906	211.564317540659	3.96919720479525e-06	0.000882499541480916
"EgrG_001051900"	-2.52014420672472	5.94972021986951	209.820977559382	4.07248867687093e-06	0.000882499541480916
"EgrG_000724500"	-1.39002829050776	7.0569159463703	209.662861632041	4.08203077697123e-06	0.000882499541480916
"EgrG_000189500"	-1.27346945779478	6.62587946845509	208.376377107776	4.16077105837301e-06	0.000882499541480916
"EgrG_000492700"	-2.12579564029004	7.57967096168263	203.911433094051	4.4500395947911e-06	0.000899203521330299
"EgrG_000856900"	-1.19326624648075	8.02774571006225	203.411432849197	4.48405924086474e-06	0.000899203521330299
