Prot_ID	Secretion_Signal	TargetP_Location	CAMPR3_SVM	CAMPR3_RF	XXX	CAMPR3_ANN	CAMPR3_DA	iAMPred_AntiBacterial	iAMPred_AntiViral	iAMPred_AntiFungal	DBAASP	SecretomeP
EgrG_000972800	SP(Sec/SPI)	S	1	1	XXX	0	1	0.588	0.525	0.591	0	1
EgrG_001201900	SP(Sec/SPI)	S	1	1	XXX	1	1	0.538	0.707	0.599	1	0
EgrG_000405800	SP(Sec/SPI)	S	1	1	XXX	1	1	0.132	0.540	0.149	1	1
EgrG_000974200	SP(Sec/SPI)	S	1	1	XXX	0	1	0.867	0.867	0.623	0	0
EgrG_001136500	SP(Sec/SPI)	S	1	1	XXX	1	1	0.829	0.749	0.616	0	1
EgrG_000968000	SP(Sec/SPI)	S	1	1	XXX	0	0	0.311	0.464	0.416	0	1
EgrG_000292800	SP(Sec/SPI)	S	1	1	XXX	1	1	0.207	0.546	0.384	0	1
EgrG_000381200	SP(Sec/SPI)	S	1	1	XXX	0	1	0.146	0.261	0.112	1	1
EgrG_000549200	SP(Sec/SPI)	S	1	1	XXX	1	1	0.243	0.760	0.437	1	0
EgrG_000185700	SP(Sec/SPI)	S	1	1	XXX	0	1	0.048	0.201	0.097	0	0
EgrG_000525400	SP(Sec/SPI)	S	1	1	XXX	1	1	0.281	0.654	0.395	1	0
EgrG_000179900	SP(Sec/SPI)	S	1	1	XXX	0	1	0.092	0.250	0.074	0	1
EgrG_000354300	SP(Sec/SPI)	S	1	1	XXX	1	0	0.586	0.730	0.794	0	0
EgrG_000218000	SP(Sec/SPI)	S	1	1	XXX	0	1	0.028	0.184	0.086	0	0
EgrG_001137400	SP(Sec/SPI)	S	1	1	XXX	1	1	0.985	0.945	0.995	0	0
EgrG_000647100	SP(Sec/SPI)	S	1	1	XXX	1	1	0.827	0.784	0.860	0	0
EgrG_000381400	SP(Sec/SPI)	S	1	1	XXX	1	1	0.423	0.538	0.289	1	0
EgrG_000647500	SP(Sec/SPI)	S	1	1	XXX	1	1	0.281	0.654	0.263	0	0
EgrG_001137200	SP(Sec/SPI)	S	1	1	XXX	1	1	0.942	0.925	0.923	0	0
EgrG_001137000	SP(Sec/SPI)	S	1	1	XXX	1	1	0.515	0.699	0.442	0	1
EgrG_000381100	SP(Sec/SPI)	S	1	1	XXX	0	1	0.530	0.681	0.406	1	0
EgrG_000647300	SP(Sec/SPI)	S	1	1	XXX	1	1	0.940	0.916	0.942	1	0
EgrG_000742800	SP(Sec/SPI)	S	1	1	XXX	0	1	0.447	0.784	0.215	0	1
EgrG_000759050	SP(Sec/SPI)	S	1	1	XXX	0	1	0.050	0.215	0.096	0	0
EgrG_002032600	SP(Sec/SPI)	S	1	1	XXX	0	1	0.187	0.721	0.065	0	0
EgrG_000381800	SP(Sec/SPI)	S	1	1	XXX	0	1	0.547	0.534	0.490	1	0
EgrG_000548800	SP(Sec/SPI)	S	1	1	XXX	0	1	0.735	0.518	0.589	0	1
EgrG_001136600	SP(Sec/SPI)	S	1	1	XXX	1	1	0.987	0.947	0.969	0	0
EgrG_001175800	SP(Sec/SPI)	S	1	1	XXX	0	1	0.207	0.461	0.167	0	0
EgrG_000381600	SP(Sec/SPI)	S	1	1	XXX	0	1	0.815	0.620	0.588	1	0
EgrG_000489700	SP(Sec/SPI)	S	1	1	XXX	0	1	0.015	0.077	0.034	0	1
EgrG_000316500	SP(Sec/SPI)	S	1	1	XXX	0	1	0.005	0.050	0.018	0	1
EgrG_000264400	SP(Sec/SPI)	S	1	1	XXX	0	0	0.195	0.500	0.304	0	0
EgrG_000530500	SP(Sec/SPI)	S	1	1	XXX	1	1	0.212	0.621	0.587	0	1
EgrG_002048700	SP(Sec/SPI)	S	1	1	XXX	1	1	0.101	0.353	0.305	0	0
EgrG_000569600	SP(Sec/SPI)	S	1	1	XXX	1	1	0.479	0.757	0.532	0	0
EgrG_002023300	SP(Sec/SPI)	S	1	1	XXX	0	1	0.652	0.783	0.468	0	0
EgrG_000419200	SP(Sec/SPI)	S	1	1	XXX	1	1	0.922	0.933	0.920	0	0
EgrG_000740500	SP(Sec/SPI)	S	1	1	XXX	0	1	0.265	0.308	0.399	1	0
EgrG_001137300	SP(Sec/SPI)	S	1	1	XXX	1	1	0.982	0.971	0.966	0	1
EgrG_002070500	SP(Sec/SPI)	S	1	1	XXX	1	1	0.924	0.724	0.703	0	0
EgrG_000526800	SP(Sec/SPI)	S	1	1	XXX	0	1	0.028	0.301	0.027	0	1
EgrG_001046700	SP(Sec/SPI)	S	1	1	XXX	0	1	0.109	0.522	0.254	0	1
EgrG_000842800	SP(Sec/SPI)	S	1	1	XXX	1	0	0.652	0.825	0.786	0	1
EgrG_002022400	SP(Sec/SPI)	S	1	1	XXX	0	1	0.259	0.407	0.160	0	0
EgrG_000240300	SP(Sec/SPI)	S	1	1	XXX	0	0	0.156	0.315	0.212	0	1
EgrG_000724500	SP(Sec/SPI)	S	1	1	XXX	1	1	0.991	0.950	0.981	0	0
EgrG_000549400	SP(Sec/SPI)	S	1	1	XXX	0	1	0.871	0.846	0.844	0	1
