Prot_ID	Secretion_Signal	TargetP_Location	CAMPR3_SVM	CAMPR3_RF	XXX	CAMPR3_ANN	CAMPR3_DA	iAMPred_AntiBacterial	iAMPred_AntiViral	iAMPred_AntiFungal	DBAASP	SecretomeP
EmuJ_000006000.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.050	0.321	0.019	0	1
EmuJ_000179900.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.205	0.339	0.158	0	1
EmuJ_000185700.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.061	0.196	0.102	0	0
EmuJ_000216900.1	SP(Sec/SPI)	S	1	1	XXX	0	0	0.324	0.328	0.441	0	0
EmuJ_000218000.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.061	0.245	0.127	0	0
EmuJ_000240300.1	SP(Sec/SPI)	S	1	1	XXX	0	0	0.191	0.297	0.158	0	1
EmuJ_000264400.1	SP(Sec/SPI)	S	1	1	XXX	0	0	0.188	0.533	0.356	0	0
EmuJ_000316500.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.014	0.094	0.032	0	1
EmuJ_000365600.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.095	0.284	0.131	0	0
EmuJ_000381100.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.664	0.733	0.484	1	0
EmuJ_000381200.1	SP(Sec/SPI)	S	1	1	XXX	0	0	0.182	0.208	0.150	1	1
EmuJ_000381400.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.567	0.668	0.418	1	0
EmuJ_000381500.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.695	0.652	0.609	1	0
EmuJ_000381600.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.758	0.698	0.699	1	0
EmuJ_000381700.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.758	0.698	0.699	1	0
EmuJ_000381800.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.589	0.625	0.556	1	0
EmuJ_000419200.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.961	0.948	0.957	0	0
EmuJ_000489700.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.013	0.097	0.037	0	1
EmuJ_000525100.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.209	0.410	0.205	0	0
EmuJ_000525400.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.209	0.410	0.205	0	0
EmuJ_000526800.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.036	0.296	0.032	0	1
EmuJ_000530500.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.155	0.528	0.495	0	1
EmuJ_000548800.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.796	0.576	0.679	0	1
EmuJ_000549200.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.412	0.782	0.712	1	0
EmuJ_000549400.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.869	0.836	0.834	0	0
EmuJ_000567100.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.790	0.775	0.430	0	0
EmuJ_000569600.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.572	0.721	0.538	0	0
EmuJ_000647100.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.766	0.665	0.812	0	0
EmuJ_000647300.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.785	0.889	0.711	1	0
EmuJ_000647500.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.220	0.745	0.465	0	0
EmuJ_000682600.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.232	0.198	0.206	0	0
EmuJ_000724500.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.989	0.955	0.980	0	1
EmuJ_000724600.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.971	0.932	0.962	0	0
EmuJ_000740500.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.219	0.237	0.311	0	0
EmuJ_000759050.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.043	0.142	0.079	0	0
EmuJ_000842800.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.943	0.947	0.966	0	0
EmuJ_000945300.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.155	0.637	0.168	0	1
EmuJ_000945400.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.040	0.100	0.096	1	1
EmuJ_000968000.1	SP(Sec/SPI)	S	1	1	XXX	0	0	0.332	0.500	0.520	0	1
EmuJ_000972800.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.552	0.532	0.607	0	1
EmuJ_000974200.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.882	0.866	0.604	0	1
EmuJ_001046700.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.097	0.486	0.282	0	1
