Prot_ID	Secretion_Signal	TargetP_Location	CAMPR3_SVM	CAMPR3_RF	XXX	CAMPR3_ANN	CAMPR3_DA	iAMPred_AntiBacterial	iAMPred_AntiViral	iAMPred_AntiFungal	DBAASP	SecretomeP
EgrG_000972800	SP(Sec/SPI)	S	1	1	XXX	0	1	0.588	0.525	0.591	0	1
EgrG_000279000	OTHER	_	1	1	XXX	1	1	0.161	0.231	0.340	0	0
EgrG_000870000	OTHER	_	0	0	XXX	0	0	0.180	0.271	0.285	1	0
EgrG_000297000	OTHER	_	1	1	XXX	1	1	0.992	0.961	0.995	0	0
EgrG_002007200	OTHER	_	0	0	XXX	0	0	0.014	0.089	0.027	1	1
EgrG_002064900	OTHER	_	1	1	XXX	0	0	0.626	0.623	0.340	0	0
EgrG_000229800	SP(Sec/SPI)	S	0	0	XXX	0	0	0.125	0.346	0.146	0	0
EgrG_000633500	OTHER	M	0	0	XXX	0	0	0.039	0.106	0.090	0	0
EgrG_002065800	OTHER	_	0	0	XXX	0	0	0.159	0.224	0.134	0	0
EgrG_000168600	OTHER	_	0	0	XXX	0	0	0.025	0.169	0.060	0	0
EgrG_000508700	OTHER	M	0	0	XXX	0	0	0.080	0.086	0.034	0	0
EgrG_002017000	OTHER	M	0	0	XXX	0	0	0.014	0.068	0.070	0	0
EgrG_000584600	OTHER	_	0	0	XXX	0	0	0.308	0.179	0.205	0	0
EgrG_001125200	OTHER	_	1	1	XXX	1	1	0.873	0.876	0.954	1	0
EgrG_002006500	OTHER	_	0	0	XXX	0	0	0.475	0.081	0.074	0	0
EgrG_001188900	OTHER	M	1	1	XXX	0	1	0.402	0.859	0.714	1	0
EgrG_001124900	OTHER	_	0	0	XXX	0	0	0.070	0.039	0.033	0	0
EgrG_000433600	OTHER	_	0	1	XXX	0	0	0.457	0.817	0.232	0	0
EgrG_002070900	OTHER	_	0	1	XXX	0	1	0.229	0.636	0.143	0	0
EgrG_000198600	OTHER	_	1	1	XXX	1	1	0.816	0.745	0.799	0	0
EgrG_000968200	OTHER	_	1	1	XXX	1	1	0.990	0.951	0.992	0	0
EgrG_000717200	OTHER	S	0	0	XXX	0	0	0.003	0.021	0.005	0	1
EgrG_002002300	OTHER	_	0	0	XXX	0	0	0.019	0.042	0.033	0	0
EgrG_000550400	OTHER	_	1	0	XXX	1	1	0.184	0.665	0.271	1	0
EgrG_002058600	OTHER	M	0	0	XXX	0	0	0.197	0.434	0.110	0	0
EgrG_000783800	OTHER	_	0	0	XXX	0	0	0.044	0.099	0.031	0	0
EgrG_000572000	OTHER	_	0	0	XXX	0	0	0.067	0.166	0.207	0	0
EgrG_000722000	OTHER	S	1	0	XXX	0	0	0.107	0.384	0.039	0	1
EgrG_002034600	OTHER	S	0	1	XXX	0	0	0.054	0.275	0.059	0	0
EgrG_000854500	OTHER	M	1	1	XXX	1	1	0.023	0.118	0.047	0	0
EgrG_000997600	OTHER	_	0	0	XXX	0	0	0.018	0.125	0.040	0	0
EgrG_001018000	OTHER	_	0	1	XXX	0	1	0.073	0.099	0.091	0	0
EgrG_002046300	OTHER	_	1	1	XXX	1	1	0.620	0.487	0.783	0	0
EgrG_000353000	OTHER	_	0	1	XXX	0	0	0.288	0.765	0.152	1	0
EgrG_000743900	OTHER	_	0	0	XXX	0	1	0.058	0.569	0.154	1	0
EgrG_000695500	OTHER	M	0	0	XXX	0	0	0.006	0.240	0.022	1	0
EgrG_002071200	OTHER	_	1	1	XXX	0	0	0.766	0.529	0.518	0	0
EgrG_000960300	OTHER	M	1	1	XXX	1	1	0.971	0.952	0.986	0	0
EgrG_002020600	OTHER	M	0	0	XXX	0	0	0.272	0.300	0.170	0	0
EgrG_000918200	OTHER	S	0	0	XXX	0	0	0.227	0.528	0.386	0	0
EgrG_002021200	OTHER	_	1	1	XXX	0	1	0.185	0.425	0.622	0	0
EgrG_001201900	SP(Sec/SPI)	S	1	1	XXX	1	1	0.538	0.707	0.599	1	0
EgrG_001044700	OTHER	_	0	1	XXX	0	0	0.465	0.648	0.313	0	0
EgrG_002016700	OTHER	_	1	1	XXX	0	0	0.160	0.607	0.146	0	0
EgrG_002032800	SP(Sec/SPI)	S	0	0	XXX	0	0	0.000	0.033	0.007	0	0
EgrG_000181700	OTHER	M	1	1	XXX	0	1	0.045	0.522	0.170	0	0
EgrG_000216800	SP(Sec/SPI)	S	0	0	XXX	0	0	0.059	0.072	0.067	0	0
EgrG_000720600	OTHER	_	0	1	XXX	0	0	0.279	0.216	0.252	0	0
EgrG_001134000	OTHER	_	1	1	XXX	0	1	0.116	0.698	0.052	0	0
EgrG_000534900	SP(Sec/SPI)	S	0	0	XXX	0	0	0.914	0.841	0.784	0	0
EgrG_001129500	OTHER	_	0	0	XXX	0	0	0.032	0.198	0.090	0	0
EgrG_002051200	OTHER	M	1	1	XXX	1	1	0.323	0.562	0.639	0	0
EgrG_000771100	OTHER	_	1	1	XXX	0	1	0.099	0.446	0.219	0	1
EgrG_000743200	SP(Sec/SPI)	S	0	1	XXX	0	1	0.634	0.755	0.621	0	0
EgrG_000066100	OTHER	S	0	0	XXX	0	1	0.382	0.667	0.411	0	0
EgrG_000942000	OTHER	_	0	1	XXX	0	0	0.070	0.514	0.075	0	1
EgrG_002036500	OTHER	_	0	0	XXX	0	0	0.006	0.080	0.024	0	0
EgrG_000205800	OTHER	M	1	1	XXX	1	1	0.351	0.776	0.525	0	0
EgrG_000941100	OTHER	_	0	1	XXX	0	0	0.597	0.681	0.586	1	0
EgrG_002070000	OTHER	_	0	0	XXX	0	0	0.075	0.078	0.072	0	0
EgrG_000639100	OTHER	_	1	1	XXX	0	1	0.005	0.159	0.024	0	0
EgrG_000939200	OTHER	S	1	1	XXX	1	1	0.684	0.859	0.836	0	0
EgrG_001035300	OTHER	_	0	0	XXX	0	0	0.040	0.231	0.196	0	0
EgrG_000421200	OTHER	_	1	1	XXX	1	1	0.936	0.879	0.943	0	0
EgrG_000068500	OTHER	_	1	1	XXX	0	1	0.609	0.837	0.340	0	0
EgrG_002049000	OTHER	_	1	1	XXX	0	1	0.357	0.289	0.289	0	0
EgrG_001026600	OTHER	_	1	1	XXX	0	0	0.051	0.162	0.045	0	0
EgrG_002027200	OTHER	_	0	1	XXX	0	1	0.320	0.749	0.219	0	0
EgrG_000354200	SP(Sec/SPI)	S	0	0	XXX	0	0	0.808	0.702	0.837	0	0
EgrG_001099900	OTHER	M	0	1	XXX	0	0	0.094	0.186	0.064	0	0
EgrG_000306000	OTHER	_	0	0	XXX	1	0	0.332	0.804	0.441	1	0
EgrG_000339700	OTHER	S	0	0	XXX	1	0	0.139	0.423	0.325	0	0
EgrG_002030700	OTHER	_	0	0	XXX	0	0	0.008	0.171	0.015	0	1
EgrG_000405800	SP(Sec/SPI)	S	1	1	XXX	1	1	0.132	0.540	0.149	1	1
EgrG_000477700	OTHER	_	0	0	XXX	0	0	0.176	0.611	0.336	0	0
EgrG_000968700	OTHER	_	0	0	XXX	0	0	0.346	0.338	0.427	0	0
EgrG_000971500	OTHER	_	0	0	XXX	0	0	0.134	0.345	0.122	0	0
EgrG_002033000	OTHER	S	1	1	XXX	0	0	0.636	0.776	0.628	0	1
EgrG_000696400	OTHER	S	0	0	XXX	0	0	0.201	0.709	0.543	0	0
EgrG_000534500	OTHER	M	0	0	XXX	0	0	0.258	0.215	0.113	0	0
EgrG_000982300	OTHER	_	0	0	XXX	0	0	0.009	0.232	0.011	1	0
EgrG_002044900	OTHER	_	1	1	XXX	0	1	0.645	0.772	0.805	0	0
EgrG_000322800	OTHER	_	1	1	XXX	1	1	0.757	0.841	0.881	1	0
EgrG_000989100	OTHER	_	0	1	XXX	0	0	0.208	0.427	0.130	0	0
EgrG_001041000	OTHER	_	0	0	XXX	0	0	0.246	0.207	0.121	0	0
EgrG_000455400	OTHER	_	0	0	XXX	1	0	0.454	0.663	0.862	0	0
