Prot_ID	CAMPR3_SVM	CAMPR3_RF	CAMPR3_ANN	CAMPR3_DA	iAMPred	DBAASP	SignalP	SecretomeP	TargetP	TMHMM
HmN_000583800	0	1	0	0	0	0	1	0	0	0
HmN_000173000.2	0	1	1	0	1	0	0	0	0	0
HmN_000751200	1	1	1	1	1	0	0	0	0	0
HmN_003050620	1	1	1	1	1	0	1	0	0	0
HmN_003037330	0	0	0	0	0	0	0	1	0	0
HmN_003035890	1	1	0	1	1	0	0	0	0	0
HmN_000321700	0	1	0	0	1	0	0	0	0	0
HmN_003050540.2	0	1	0	0	1	0	0	0	0	0
HmN_002215600	0	1	0	0	0	0	0	1	0	0
HmN_000726700	0	0	1	0	0	0	0	0	0	1
HmN_003008120	1	1	0	1	0	0	0	0	0	0
HmN_002148200	1	1	0	1	1	0	0	0	0	0
HmN_003004980	0	1	0	0	1	0	0	0	0	0
HmN_000546700	1	1	0	0	0	0	0	0	0	0
HmN_000403700	1	1	1	1	1	1	0	0	0	0
HmN_003015610	1	1	0	1	0	0	0	0	0	0
HmN_003033920	0	0	0	0	0	0	0	1	0	0
HmN_002200400	1	0	1	0	1	1	0	0	0	0
HmN_003003000	0	1	0	1	1	0	0	0	0	0
HmN_003021330	1	1	0	1	1	0	1	0	0	1
HmN_002108200	0	0	0	0	1	0	0	0	0	0
HmN_000980600	0	1	0	0	0	0	0	0	0	0
HmN_003008260	1	1	0	0	0	0	0	0	0	1
HmN_000337000	1	1	0	0	1	0	0	0	0	0
HmN_000309300.2	0	1	0	0	0	0	0	1	0	0
HmN_000061800	0	0	0	0	0	1	0	0	0	1
HmN_002007100	0	0	0	0	1	0	0	0	0	0
HmN_000706200	0	1	0	0	1	0	0	0	0	1
HmN_000197700	0	1	0	0	0	0	1	0	0	1
HmN_000110400	1	1	0	1	1	0	0	0	0	0
HmN_003034780	0	1	0	0	0	0	0	1	0	0
HmN_000256100	1	1	0	1	1	0	1	0	0	0
HmN_000309100	0	0	0	0	0	0	0	0	0	0
HmN_002126600	1	1	0	0	1	0	1	0	0	0
HmN_003001420	0	0	0	0	0	0	0	0	0	0
HmN_003007010	0	1	0	0	0	0	0	0	0	0
HmN_000648800	0	0	0	1	1	0	1	0	0	1
HmN_003021110	0	1	0	0	1	0	0	0	0	0
HmN_003008150	1	1	0	0	0	0	0	0	0	1
HmN_003007330	1	1	1	1	1	0	0	0	0	0
HmN_003000470	1	1	0	1	1	0	0	0	0	0
HmN_003029080	1	1	0	1	1	0	0	0	0	1
HmN_000282600	0	0	0	0	1	0	0	0	0	0
HmN_002262700	1	1	0	0	0	0	0	0	0	0
HmN_002186600	1	1	1	1	1	0	0	0	0	0
HmN_000227300	0	0	0	0	0	0	0	0	0	0
HmN_002228000	1	1	0	1	1	0	0	0	0	1
HmN_000357600	1	1	0	1	1	0	0	0	0	0
HmN_003021100	0	1	0	0	1	0	0	0	0	1
HmN_003043190.1	0	1	0	0	0	0	0	0	0	0
HmN_003007520	1	1	0	1	0	1	0	0	0	0
HmN_003008430	1	1	0	0	1	0	0	0	0	0
