Prot_ID	Secretion_Signal	TargetP_Location	CAMPR3_SVM	CAMPR3_RF	XXX	CAMPR3_ANN	CAMPR3_DA	iAMPred_AntiBacterial	iAMPred_AntiViral	iAMPred_AntiFungal	DBAASP	SecretomeP
EmuJ_000003600.1	OTHER	_	0	0	XXX	0	0	0.126	0.130	0.078	0	0
EmuJ_000004600.1	OTHER	_	0	0	XXX	0	0	0.042	0.079	0.086	0	0
EmuJ_000005300.1	OTHER	_	0	0	XXX	0	0	0.000	0.006	0.003	0	0
EmuJ_000005800.1	OTHER	_	0	0	XXX	0	0	0.041	0.067	0.055	0	0
EmuJ_000005900.1	OTHER	M	0	0	XXX	0	0	0.216	0.292	0.548	0	0
EmuJ_000006000.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.050	0.321	0.019	0	1
EmuJ_000006700.1	OTHER	_	0	0	XXX	0	0	0.206	0.619	0.106	0	0
EmuJ_000007300.1	OTHER	_	1	1	XXX	1	1	0.970	0.637	0.947	0	0
EmuJ_000007500.1	OTHER	_	0	1	XXX	0	0	0.821	0.868	0.428	0	0
EmuJ_000009600.1	OTHER	_	0	0	XXX	0	0	0.023	0.216	0.024	0	0
EmuJ_000010700.1	OTHER	S	0	0	XXX	0	0	0.172	0.380	0.061	0	1
EmuJ_000011500.1	OTHER	_	0	0	XXX	0	0	0.000	0.015	0.006	0	0
EmuJ_000013100.1	OTHER	_	1	1	XXX	0	1	0.119	0.478	0.527	1	0
EmuJ_000014500.1	OTHER	M	1	1	XXX	0	1	0.047	0.452	0.088	0	0
EmuJ_000015200.1	OTHER	_	0	0	XXX	0	0	0.277	0.386	0.238	0	0
EmuJ_000018800.1	OTHER	_	1	1	XXX	1	1	0.356	0.391	0.576	0	0
EmuJ_000020400.1	OTHER	M	0	0	XXX	0	0	0.018	0.180	0.095	1	0
EmuJ_000021600.1	OTHER	S	0	0	XXX	0	0	0.005	0.033	0.009	0	0
EmuJ_000023900.1	OTHER	S	0	1	XXX	0	0	0.118	0.214	0.086	0	0
EmuJ_000024000.1	OTHER	_	0	0	XXX	0	0	0.252	0.415	0.150	0	0
